condition,drugName,rating,sideEffects,review,sentiment
abdominal distension,bethanechol,9,Mild Side Effects,severe pain nausea prescribed medication still pain nausea tolerable,0.333333333
abdominal distension,urecholine,9,Severe Side Effects,severe pain nausea prescribed medication still pain nausea tolerable,0
abnormal uterine bleeding,medroxyprogesterone,10,Mild Side Effects,abnormal bleeding getting double dose month next dose,0.333333333
abnormal uterine bleeding,depo provera,10,No Side Effects,abnormal bleeding getting double dose month next dose,0
abnormal uterine bleeding,levonorgestrel,9,Extremely Severe Side Effects,always really heavy period high school thought normal even though changing super tampon every hour turn high school girl exaggerate symptom went onto pill deal bleeding upset gut helped little still got upset gut would bleed full day still using super tampon mirena month granted one period since put grand total three day barely needed panty liner upset gut thing much sugar chocolate bar pop time get really bad gas pain guess eat much sugar anymore,-0.125
abnormal uterine bleeding,mirena,9,Severe Side Effects,absolutely brilliant asked doctor break heavy period week summer holiday suggested long term consider mirena changed life inserted august light one day period every month since cramping flooding headache beforehand still regular notice swollen breast month settled wish found mirena age ago,0
abnormal uterine bleeding,ethinyl estradiol   norgestimate,3,Extremely Severe Side Effects,pill week put regulate hormone level passing lot period would ovulate sexually active say week kinda miserable nausea horrible get especially morning middle night giving horrible headache used pretty moody nothing compared constantly irritated take nothing make furious gonna stick month doctor said side effect stop switch something else,-0.125
abnormal uterine bleeding,ethinyl estradiol   levonorgestrel,1,Mild Side Effects,anemia primary thought would aid anemia prescribing camrese shorten amount period thought would great idea since period little heavy even bc well first pack great second pack started good middle started spotting figured big deal stop spotting saw gyne week spotting said oh first round stick better next round well exact bled monthly pill officially stopped using pill waiting breakthrough bleeding end go back normal pill,0.333333333
abnormal uterine bleeding,ethinyl estradiol   norethindrone,8,Extremely Severe Side Effects,put loestrin abnormal period daughter experience change mood first birth control cup size increased first month stayed size negative side effect developed two dark spot melasma upper lip worsened exposure sun long use sun block getting worse make self conscience pill regulating effective birth control,-0.125
abnormal uterine bleeding,norethindrone,1,Extremely Severe Side Effects,birth control great enjoy bleeding day put control bleeding bleed every day,-0.125
abnormal uterine bleeding,sprintec,1,Mild Side Effects,absolutely recommend pill anyone given rx bleeding week passing several clot weak dizzy day ago told pill strong good enough nd day thrown nearly day stomach ached cramped badly even hydrocodone rx ease pain vision blurry head constant pounding sensation still weak still bleeding probably even give pill dog prevent getting pregnant worth worth money,0.333333333
abnormal uterine bleeding,seasonique,1,Moderate Side Effects,bc great first pack started bleeding non stop heavy bleeding stopped soon quit taking never,0
abnormal uterine bleeding,provera,10,Mild Side Effects,abnormal uterine bleeding know started passing clot bleeding irregularly thought first miscarriage went gyn prescribed provera mg day day finished prescription problem sensitive breast bleeding completely stopped,0.333333333
abnormal uterine bleeding,loestrin    fe,3,Extremely Severe Side Effects,started pill excited stop right middle pack mean nowhere burst bleeding went bathroom like period snuck almost week period due lot clot brown yucky stuff top mood really crazy would lying bed would feel like cry okay next moment two day cause take crazy mood swing bleeding anymore also noticed great deal fatigue even changed even day loestrin worth cannot wait system,-0.125
abnormal uterine bleeding,tri sprintec,5,Mild Side Effects,almost went really heavy period bad cramp would pas regularly little two week period stopped heavy first four day became really light last week almost like spotting never happened breast hurt really bad sure gained lost weight started dieting right went pill far hate pill month hoping next month better one,0.333333333
abnormal uterine bleeding,mononessa,1,Extremely Severe Side Effects,doctor put medication month ago preparation surgery worst decision ever made two week taking mononessa began spotting thought big deal spotting stop soon well twelve day later still spotting called doctor office told sometimes happen ok two day conversation started light bleeding worst cramping ever add started lower back pain also nothing took seems help pain got bad go emergency room could barely stand lie even go work yet still cramping severely need take narcotic med suck,-0.125
abnormal uterine bleeding,ethinyl estradiol   norgestrel,10,Mild Side Effects,body rejected medicine like crazy including birth control birth control ever worked recently started taking due irregular cycle heavy bleeding year since taken two kid tried two birth control hospitalized iud taken birth control two week ago breast tenderness never acne feel skin lot glowing remember gyno change level hormone dosage medicine give talk gyno first quitting really great doctor take time make right find one really work,0.333333333
abnormal uterine bleeding,estarylla,1,Extremely Severe Side Effects,took pill coz anemic doctor previously put iud cure anemia iud came come told take birth control pill one seems like helped stop bleeding since day felt like shortness breath heartbeat fast donno prescribed may amerigroup insurance something reason went doc checkup said might blood clot lung life messed,-0.125
abnormal uterine bleeding,megestrol,7,Extremely Severe Side Effects,given magestrol mg twice day c started bleeding day using weight gain much anger even hair started falling bad experience doctor give progesterone mg still taking since day bleeding still know stop progesterone day stop see happen,-0.125
abnormal uterine bleeding,tri previfem,4,Mild Side Effects,bc nd rd month never problem month thought could different reason look review people similar problem period usually last maximum normal day day spotting annoying thing world still debating changing different bc,0.333333333
abnormal uterine bleeding,nora be,7,Mild Side Effects,kid always issue taking bc estrogen make moody bloated beast diagnosed endo year ago got iud w hormone worked year bleeding month see ob last week suggested nora first hesitant explained progesterone dosage iud fraction hormone compared progesterone pill taken week shrink cyst said ok took first pill last night today calm patient appetite post update day,0.333333333
